@relation lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute action {0,1,2,3}

@data
-0.253677,1.127372,-0.72066,-0.444552,0.221494,-0.093366,0,0,0
-0.260929,1.117257,-0.720659,-0.448874,0.216826,-0.093365,0,0,2
-0.268387,1.107559,-0.740545,-0.430232,0.211575,-0.105011,0,0,2
-0.27592,1.099323,-0.748741,-0.365403,0.206993,-0.091653,0,0,2
-0.283561,1.091678,-0.759526,-0.339177,0.202355,-0.092754,0,0,2
-0.291127,1.084618,-0.752784,-0.313224,0.19848,-0.077496,0,0,0
-0.298694,1.077462,-0.752783,-0.317546,0.194605,-0.077495,0,0,0
-0.30626,1.070209,-0.752783,-0.321867,0.190731,-0.077495,0,0,0
-0.313826,1.062858,-0.752783,-0.326188,0.186856,-0.077495,0,0,0
-0.321393,1.055411,-0.752782,-0.330509,0.182981,-0.077495,0,0,0
-0.328959,1.047867,-0.752782,-0.33483,0.179106,-0.077495,0,0,0
-0.336526,1.040226,-0.752782,-0.339152,0.175232,-0.077495,0,0,2
-0.344168,1.033105,-0.760395,-0.316013,0.171342,-0.0778,0,0,2
-0.35204,1.027039,-0.782867,-0.269105,0.167013,-0.086564,0,0,2
-0.359984,1.021847,-0.790215,-0.230314,0.162855,-0.083162,0,0,0
-0.367928,1.016557,-0.790214,-0.234635,0.158697,-0.083162,0,0,0
-0.375872,1.011171,-0.790214,-0.238957,0.154539,-0.083162,0,0,0
-0.383815,1.005687,-0.790214,-0.243278,0.150381,-0.083161,0,0,0
-0.391759,1.000107,-0.790213,-0.2476,0.146223,-0.083161,0,0,0
-0.399703,0.99443,-0.790213,-0.251921,0.142065,-0.083161,0,0,0
-0.407647,0.988656,-0.790213,-0.256242,0.137907,-0.083161,0,0,0
-0.415591,0.982784,-0.790213,-0.260564,0.133749,-0.083161,0,0,0
-0.423535,0.976816,-0.790212,-0.264885,0.129591,-0.083161,0,0,0
-0.431478,0.970751,-0.790212,-0.269207,0.125433,-0.083161,0,0,0
-0.439422,0.964589,-0.790212,-0.273528,0.121275,-0.083161,0,0,0
-0.447366,0.95833,-0.790212,-0.27785,0.117117,-0.083161,0,0,0
-0.45531,0.951973,-0.790211,-0.282171,0.112959,-0.08316,0,0,0
-0.463254,0.94552,-0.790211,-0.286493,0.108801,-0.08316,0,0,0
-0.471198,0.93897,-0.790211,-0.290814,0.104643,-0.08316,0,0,0
-0.479142,0.932323,-0.790211,-0.295135,0.100485,-0.08316,0,0,0
-0.487086,0.925579,-0.79021,-0.299457,0.096327,-0.08316,0,0,0
-0.49503,0.918739,-0.79021,-0.303778,0.092169,-0.08316,0,0,1
-0.503072,0.911791,-0.80243,-0.308675,0.090468,-0.034023,0,0,1
-0.511211,0.904738,-0.814681,-0.313506,0.091227,0.015192,0,0,1
-0.519429,0.897587,-0.824531,-0.317993,0.093957,0.054591,0,0,1
-0.527743,0.890327,-0.83668,-0.323017,0.099133,0.103535,0,0,1
-0.536131,0.882952,-0.84584,-0.328277,0.106171,0.140747,0,0,0
-0.544518,0.87548,-0.84584,-0.332601,0.113208,0.140747,0,0,0
-0.552906,0.867912,-0.845839,-0.336925,0.120245,0.140746,0,0,0
-0.561293,0.860247,-0.845838,-0.341249,0.127283,0.140746,0,0,0
-0.569681,0.852485,-0.845837,-0.345573,0.13432,0.140745,0,0,0
-0.578069,0.844627,-0.845837,-0.349897,0.141357,0.140745,0,0,0
-0.586457,0.836673,-0.845836,-0.354221,0.148394,0.140744,0,0,0
-0.594845,0.828622,-0.845835,-0.358545,0.155432,0.140744,0,0,0
-0.603233,0.820474,-0.845834,-0.36287,0.162469,0.140743,0,0,0
-0.61162,0.81223,-0.845833,-0.367194,0.169506,0.140743,0,0,0
-0.620009,0.803889,-0.845832,-0.371518,0.176543,0.140742,0,0,0
-0.628397,0.795452,-0.845831,-0.375842,0.18358,0.140742,0,0,3
-0.636693,0.78694,-0.834267,-0.378864,0.188251,0.093413,0,0,3
-0.644917,0.778347,-0.825185,-0.382298,0.191072,0.05643,0,0,3
-0.653052,0.769676,-0.814044,-0.385422,0.191617,0.010902,0,0,3
-0.661092,0.760928,-0.802143,-0.388584,0.18974,-0.037555,0,0,3
-0.669045,0.752102,-0.791279,-0.391718,0.185641,-0.081973,0,0,3
-0.676919,0.743193,-0.78131,-0.395233,0.179524,-0.122335,0,0,3
-0.684731,0.734199,-0.773523,-0.398823,0.171824,-0.154007,0,0,3
-0.692456,0.725132,-0.76246,-0.401873,0.161859,-0.199305,0,0,3
-0.700112,0.715991,-0.753899,-0.405026,0.15013,-0.234571,0,0,3
-0.707696,0.70677,-0.744784,-0.408489,0.136548,-0.271632,0,0,3
-0.715214,0.697466,-0.736425,-0.412186,0.121276,-0.305443,0,0,3
-0.72266,0.688074,-0.727392,-0.416118,0.104191,-0.341704,0,0,3
-0.730038,0.678594,-0.718896,-0.420118,0.085401,-0.375794,0,0,3
-0.73732,0.669044,-0.706772,-0.423336,0.064157,-0.424881,0,0,2
-0.74449,0.660382,-0.696188,-0.384215,0.043629,-0.41057,0,0,2
-0.751564,0.653208,-0.68733,-0.318383,0.023753,-0.397521,0,0,2
-0.758786,0.646917,-0.701384,-0.279426,0.003271,-0.409637,0,0,2
-0.766165,0.642044,-0.716435,-0.216651,-0.017924,-0.423898,0,0,2
-0.773389,0.638303,-0.701656,-0.166641,-0.038472,-0.410968,0,0,0
