x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,score,action
0.24362364411354065,1.8377236127853394,0.21148927509784698,-0.1231464371085167,-5.015302658081055,-2.925304889678955,0.0,0.0,-524.2621553847634,3
0.24525108933448792,1.832894206047058,0.2167886197566986,-0.12116826325654984,-5.163780212402344,-2.9724953174591064,0.0,0.0,-539.0449546352892,3
0.24672946333885193,1.8281798362731934,0.2229633331298828,-0.12150430679321289,-5.313926696777344,-3.005943775177002,0.0,0.0,-554.1988987688961,3
0.24808387458324432,1.8236273527145386,0.23076340556144714,-0.12185540050268173,-5.46597146987915,-3.044020891189575,0.0,0.0,-569.7043953617739,3
0.24934892356395721,1.8192853927612305,0.24080908298492432,-0.12211238592863083,-5.620288372039795,-3.0895731449127197,0.0,0.0,-585.6570164126424,3
0.25052937865257263,1.8151593208312988,0.24857838451862335,-0.12459015846252441,-5.776025772094727,-3.118107318878174,0.0,0.0,-601.6733699371307,3
0.2516880929470062,1.811281681060791,0.2605949342250824,-0.1272764801979065,-5.93391752243042,-3.161303997039795,0.0,0.0,-618.3205268872468,3
0.2528511881828308,1.8076627254486084,0.27176108956336975,-0.13125275075435638,-6.093679428100586,-3.198826551437378,0.0,0.0,-635.1624737363281,3
0.25405779480934143,1.8042961359024048,0.28311535716056824,-0.13682137429714203,-6.255277156829834,-3.2356765270233154,0.0,0.0,-652.3002355593255,3
0.25534534454345703,1.8011914491653442,0.2940221428871155,-0.1428738683462143,-6.418696403503418,-3.2721970081329346,0.0,0.0,-669.6282113972111,3
0.2567373216152191,1.7983283996582031,0.3024631440639496,-0.1502339392900467,-6.58356237411499,-3.3012053966522217,0.0,0.0,-686.9631263540148,3
0.25829964876174927,1.7956801652908325,0.31358104944229126,-0.15879039466381073,-6.750604629516602,-3.344855785369873,0.0,0.0,-704.834769555843,3
0.26005658507347107,1.7932045459747314,0.32226771116256714,-0.1687953919172287,-6.919703006744385,-3.3861184120178223,0.0,0.0,-722.7850985859906,3
0.2620231509208679,1.7908693552017212,0.3274531364440918,-0.17895027995109558,-7.090450286865234,-3.4192137718200684,0.0,0.0,-740.6234302558621,3
0.26423102617263794,1.7886186838150024,0.33168870210647583,-0.18996472656726837,-7.263092517852783,-3.4572513103485107,0.0,0.0,-758.6345999119301,3
0.2667028307914734,1.78639554977417,0.3341251611709595,-0.20131586492061615,-7.43768310546875,-3.496328830718994,0.0,0.0,-776.7251940537433,3
