@relation lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute action {0,1,2,3}

@data
0.053956,1.87288,0.048294,-0.060445,-0.060948,-0.010783,0,0,0
0.054433,1.871423,0.048294,-0.064765,-0.061487,-0.010783,0,0,0
0.05491,1.869869,0.048294,-0.069085,-0.062026,-0.010783,0,0,0
0.055388,1.868218,0.048294,-0.073405,-0.062565,-0.010783,0,0,0
0.055865,1.86647,0.048294,-0.077725,-0.063104,-0.010783,0,0,0
0.056343,1.864624,0.048294,-0.082045,-0.063643,-0.010783,0,0,0
0.05682,1.862681,0.048294,-0.086365,-0.064183,-0.010783,0,0,0
0.057298,1.860641,0.048294,-0.090685,-0.064722,-0.010783,0,0,0
0.057775,1.858504,0.048294,-0.095005,-0.065261,-0.010783,0,0,0
0.058253,1.85627,0.048294,-0.099325,-0.0658,-0.010783,0,0,0
0.05873,1.853939,0.048294,-0.103645,-0.066339,-0.010783,0,0,0
0.059208,1.85151,0.048294,-0.107965,-0.066878,-0.010783,0,0,0
0.059685,1.848984,0.048294,-0.112285,-0.067417,-0.010783,0,0,0
0.060163,1.846361,0.048294,-0.116605,-0.067956,-0.010783,0,0,0
0.06064,1.843641,0.048294,-0.120925,-0.068496,-0.010783,0,0,0
0.061118,1.840823,0.048294,-0.125245,-0.069035,-0.010783,0,0,0
0.061595,1.837909,0.048294,-0.129565,-0.069574,-0.010783,0,0,0
0.062073,1.834897,0.048294,-0.133885,-0.070113,-0.010783,0,0,0
0.06255,1.831788,0.048294,-0.138205,-0.070652,-0.010783,0,0,0
0.063028,1.828581,0.048294,-0.142525,-0.071191,-0.010783,0,0,0
0.063505,1.825278,0.048294,-0.146845,-0.07173,-0.010783,0,0,0
0.063983,1.821878,0.048294,-0.151165,-0.072269,-0.010783,0,0,0
0.06446,1.81838,0.048294,-0.155485,-0.072809,-0.010783,0,0,0
0.064938,1.814785,0.048294,-0.159805,-0.073348,-0.010783,0,0,0
0.065415,1.811093,0.048294,-0.164125,-0.073887,-0.010783,0,0,0
0.065893,1.807303,0.048294,-0.168445,-0.074426,-0.010783,0,0,0
0.06637,1.803416,0.048294,-0.172765,-0.074965,-0.010783,0,0,0
0.066848,1.799433,0.048294,-0.177086,-0.075504,-0.010783,0,0,0
0.067325,1.795352,0.048294,-0.181406,-0.076043,-0.010783,0,0,0
0.067803,1.791173,0.048294,-0.185726,-0.076583,-0.010783,0,0,0
0.06828,1.786898,0.048294,-0.190046,-0.077122,-0.010783,0,0,0
0.068758,1.782525,0.048294,-0.194366,-0.077661,-0.010783,0,0,0
0.069235,1.778056,0.048294,-0.198686,-0.0782,-0.010783,0,0,0
0.069713,1.773489,0.048294,-0.203006,-0.078739,-0.010783,0,0,2
0.07021,1.769915,0.050439,-0.158887,-0.079452,-0.014253,0,0,0
0.070707,1.766243,0.050439,-0.163207,-0.080164,-0.014253,0,0,0
0.071204,1.762475,0.050439,-0.167527,-0.080877,-0.014253,0,0,0
0.071702,1.758609,0.050439,-0.171847,-0.08159,-0.014253,0,0,0
0.072199,1.754646,0.050439,-0.176167,-0.082302,-0.014253,0,0,0
0.072696,1.750586,0.050439,-0.180487,-0.083015,-0.014253,0,0,0
0.073193,1.746429,0.050439,-0.184807,-0.083728,-0.014253,0,0,0
0.07369,1.742174,0.050439,-0.189127,-0.08444,-0.014253,0,0,0
0.074188,1.737823,0.050439,-0.193447,-0.085153,-0.014253,0,0,0
0.074685,1.733374,0.050439,-0.197767,-0.085865,-0.014253,0,0,0
0.075182,1.728828,0.050439,-0.202087,-0.086578,-0.014253,0,0,2
0.075595,1.724724,0.042545,-0.182446,-0.087823,-0.024904,0,0,0
0.076008,1.720524,0.042545,-0.186766,-0.089068,-0.024904,0,0,0
0.076421,1.716226,0.042545,-0.191086,-0.090314,-0.024904,0,0,0
0.076833,1.711831,0.042545,-0.195407,-0.091559,-0.024904,0,0,0
0.077246,1.707339,0.042545,-0.199727,-0.092804,-0.024904,0,0,0
0.077659,1.70275,0.042545,-0.204047,-0.094049,-0.024904,0,0,2
0.078117,1.698788,0.047044,-0.176151,-0.095297,-0.024959,0,0,0
0.078575,1.694729,0.047044,-0.180471,-0.096545,-0.024959,0,0,0
0.079033,1.690573,0.047044,-0.184791,-0.097793,-0.024959,0,0,0
0.079491,1.68632,0.047044,-0.189111,-0.099041,-0.024959,0,0,0
0.079949,1.68197,0.047044,-0.193431,-0.100289,-0.024959,0,0,0
0.080406,1.677522,0.047044,-0.197751,-0.101537,-0.024959,0,0,0
0.080864,1.672978,0.047044,-0.202072,-0.102785,-0.024959,0,0,2
0.081263,1.669543,0.041803,-0.15279,-0.104686,-0.038025,0,0,0
0.081662,1.666011,0.041803,-0.15711,-0.106587,-0.038025,0,0,0
0.082061,1.662382,0.041803,-0.16143,-0.108488,-0.038025,0,0,0
0.08246,1.658656,0.041803,-0.165751,-0.11039,-0.038025,0,0,0
0.082859,1.654832,0.041803,-0.170071,-0.112291,-0.038025,0,0,0
0.083257,1.650912,0.041803,-0.174391,-0.114192,-0.038025,0,0,0
0.083656,1.646894,0.041803,-0.178711,-0.116093,-0.038025,0,0,0
0.084055,1.642779,0.041803,-0.183032,-0.117995,-0.038025,0,0,0
0.084454,1.638567,0.041803,-0.187352,-0.119896,-0.038025,0,0,0
0.084853,1.634258,0.041803,-0.191672,-0.121797,-0.038025,0,0,0
0.085252,1.629852,0.041803,-0.195993,-0.123698,-0.038025,0,0,0
0.085651,1.625348,0.041803,-0.200313,-0.1256,-0.038025,0,0,2
0.08621,1.62192,0.057527,-0.152492,-0.127219,-0.032389,0,0,0
0.086769,1.618395,0.057527,-0.156813,-0.128839,-0.032389,0,0,0
0.087328,1.614773,0.057527,-0.161133,-0.130458,-0.032389,0,0,0
0.087887,1.611053,0.057527,-0.165453,-0.132077,-0.032389,0,0,0
0.088446,1.607237,0.057527,-0.169773,-0.133697,-0.032389,0,0,0
0.089005,1.603323,0.057527,-0.174094,-0.135316,-0.032389,0,0,0
0.089564,1.599312,0.057527,-0.178414,-0.136936,-0.032389,0,0,0
0.090123,1.595204,0.057527,-0.182734,-0.138555,-0.032389,0,0,0
0.090682,1.590999,0.057527,-0.187054,-0.140175,-0.032389,0,0,0
0.091241,1.586696,0.057527,-0.191374,-0.141794,-0.032389,0,0,0
0.0918,1.582296,0.057527,-0.195695,-0.143414,-0.032389,0,0,0
0.092359,1.5778,0.057527,-0.200015,-0.145033,-0.032389,0,0,2
0.092881,1.57457,0.054621,-0.143775,-0.147429,-0.047923,0,0,0
0.093403,1.571243,0.054621,-0.148095,-0.149825,-0.047923,0,0,0
0.093925,1.567819,0.054621,-0.152416,-0.152221,-0.047923,0,0,1
0.094383,1.564325,0.046506,-0.155384,-0.152933,-0.014243,0,0,1
0.094758,1.560763,0.036057,-0.158134,-0.151487,0.02893,0,0,1
0.095053,1.557115,0.026013,-0.161822,-0.148016,0.06942,0,0,0
0.095348,1.553369,0.026012,-0.166143,-0.144545,0.06942,0,0,0
0.095643,1.549526,0.026012,-0.170464,-0.141074,0.06942,0,0,0
